time,thrust
0.924,4844.4968
0.925,4844.3287
0.926,4844.1606
0.927,4843.9924
0.928,4843.8243
0.929,4843.6562
0.93,4843.488
0.931,4843.3199
0.932,4843.1517
0.933,4842.9835
0.934,4842.8153
0.935,4842.6471
0.936,4842.4789
0.937,4842.3107
0.938,4842.1425
0.939,4841.9743
0.94,4841.806
0.941,4841.6377
0.942,4841.4695
0.943,4841.3012
0.944,4841.1329
0.945,4840.9646
0.946,4840.7963
0.947,4840.628
0.948,4840.4596
0.949,4840.2913
0.95,4840.1229
0.951,4839.9546
0.952,4839.7862
0.953,4839.6178
0.954,4839.4494
0.955,4839.281
0.956,4839.1126
0.957,4838.9441
0.958,4838.7757
0.959,4838.6073
0.96,4838.4388
0.961,4838.2703
0.962,4838.1018
0.963,4837.9334
0.964,4837.7649
0.965,4837.5963
0.966,4837.4278
0.967,4837.2593
0.968,4837.0907
0.969,4836.9222
0.97,4836.7536
0.971,4836.5851
0.972,4836.4165
0.973,4836.2479
0.974,4836.0793
0.975,4835.9107
0.976,4835.742
0.977,4835.5734
0.978,4835.4047
0.979,4835.2361
0.98,4835.0674
0.981,4834.8987
0.982,4834.7301
0.983,4834.5614
0.984,4834.3926
0.985,4834.2239
0.986,4834.0552
0.987,4833.8865
0.988,4833.7177
0.989,4833.5489
0.99,4833.3802
0.991,4833.2114
0.992,4833.0426
0.993,4832.8738
0.994,4832.705
0.995,4832.5362
0.996,4832.3673
0.997,4832.1985
0.998,4832.0296
0.999,4831.8608
1,4831.6919
1.001,4831.523
1.002,4831.3541
1.003,4831.1852
1.004,4831.0163
1.005,4830.8474
1.006,4830.6784
1.007,4830.5095
1.008,4830.3405
1.009,4830.1715
1.01,4830.0026
1.011,4829.8336
1.012,4829.6646
1.013,4829.4956
1.014,4829.3265
1.015,4829.1575
1.016,4828.9885
1.017,4828.8194
1.018,4828.6504
1.019,4828.4813
1.02,4828.3122
1.021,4828.1431
1.022,4827.974
1.023,4827.8049
1.024,4827.6358
1.025,4827.4666
1.026,4827.2975
1.027,4827.1283
1.028,4826.9592
1.029,4826.79
1.03,4826.6208
1.031,4826.4516
1.032,4826.2824
