Time (s),Oxidizer Mass (kg),Fuel Mass (kg)
0.714,11.769163,2.2518646
0.715,11.767047,2.2515167
0.716,11.764932,2.2511689
0.717,11.762816,2.250821
0.718,11.760701,2.2504732
0.719,11.758586,2.2501254
0.72,11.756471,2.2497776
0.721,11.754355,2.2494298
0.722,11.75224,2.2490821
0.723,11.750126,2.2487343
0.724,11.748011,2.2483866
0.725,11.745896,2.2480389
0.726,11.743781,2.2476912
0.727,11.741666,2.2473436
0.728,11.739552,2.2469959
0.729,11.737437,2.2466483
0.73,11.735323,2.2463007
0.731,11.733209,2.2459531
0.732,11.731094,2.2456055
0.733,11.72898,2.245258
0.734,11.726866,2.2449104
0.735,11.724752,2.2445629
0.736,11.722638,2.2442154
0.737,11.720524,2.2438679
0.738,11.71841,2.2435205
0.739,11.716296,2.243173
0.74,11.714183,2.2428256
0.741,11.712069,2.2424782
0.742,11.709956,2.2421308
0.743,11.707842,2.2417834
0.744,11.705729,2.2414361
0.745,11.703615,2.2410888
0.746,11.701502,2.2407415
0.747,11.699389,2.2403942
0.748,11.697276,2.2400469
0.749,11.695163,2.2396996
0.75,11.69305,2.2393524
0.751,11.690937,2.2390052
0.752,11.688824,2.238658
0.753,11.686711,2.2383108
0.754,11.684599,2.2379636
0.755,11.682486,2.2376165
0.756,11.680374,2.2372693
0.757,11.678261,2.2369222
0.758,11.676149,2.2365751
0.759,11.674036,2.2362281
0.76,11.671924,2.235881
0.761,11.669812,2.235534
0.762,11.6677,2.2351869
0.763,11.665588,2.2348399
0.764,11.663476,2.234493
0.765,11.661364,2.234146
0.766,11.659252,2.233799
0.767,11.657141,2.2334521
0.768,11.655029,2.2331052
0.769,11.652918,2.2327583
0.77,11.650806,2.2324114
0.771,11.648695,2.2320646
0.772,11.646583,2.2317177
0.773,11.644472,2.2313709
0.774,11.642361,2.2310241
0.775,11.64025,2.2306773
0.776,11.638139,2.2303306
0.777,11.636028,2.2299838
0.778,11.633917,2.2296371
0.779,11.631806,2.2292904
0.78,11.629695,2.2289437
0.781,11.627585,2.228597
0.782,11.625474,2.2282504
0.783,11.623363,2.2279037
0.784,11.621253,2.2275571
0.785,11.619143,2.2272105
0.786,11.617032,2.2268639
0.787,11.614922,2.2265174
0.788,11.612812,2.2261708
0.789,11.610702,2.2258243
0.79,11.608592,2.2254778
0.791,11.606482,2.2251313
0.792,11.604372,2.2247848
0.793,11.602262,2.2244383
0.794,11.600152,2.2240919
0.795,11.598043,2.2237455
0.796,11.595933,2.2233991
