type,time,cellADC1,cellADC2,pressureADC1,pressureADC2,kgf1,kgf2,mpa1,mpa2,fov,vov,pov,qd,abort,mov,ign1,ign2,rssi
0,130270.00,8389606.00,8926959.00,99.00,100.00,-3.47,20.35,-0.04,-0.03,0,0,0,0,0,0,0,0,-128
0,130472.00,8389606.00,8927008.00,99.00,100.00,-3.47,20.35,-0.04,-0.03,0,0,0,0,0,0,0,0,-112
0,130876.00,8389579.00,8926998.00,100.00,100.00,-3.47,20.35,-0.03,-0.03,0,0,0,0,0,0,0,0,-128
0,131481.00,8389636.00,89269,-110
0,131683.00,8389588.00,8927057.00,100.00,100.00,-3.47,20.35,-0.03,-0.03,0,0,0,0,0,0,0,0,-128
0,132692.00,8389615.00,8926863.00,99.00,100.00,-3.47,20.34,-0.04,-0.03,0,0,0,0,0,0,0,0,-112
0,132894.00,8389692.00,8926320.00,99.00,100.00,-3.45,20.32,-0.04,-0.03,0,0,0,0,0,0,0,0,-109
0,133096.00,8389808.00,8926518.00,99.00,100.00,-3.42,20.33,-0.04,-0.03,0,0,0,0,0,0,0,0,-128
0,133297.00,8389729.00,8926819.00,99.00,100.00,-3.44,20.34,-0.04,-0.03,0,0,0,0,0,0,0,0,-128
0,133499.00,8389739.00,8926744.00,100.00,100.00,-3.44,20.34,-0.03,-0.03,0,0,0,0,0,0,0,0,-111
0,134912.00,8389613.00,8926436.00,99.00,100.00,-3.47,20.33,-0.04,-0.03,0,0,0,0,0,0,0,0,-128
0,135114.00,8389678.00,8926948.00,100.00,100.00,-3.45,20.35,-0.03,-0.03,0,0,0,0,0,0,0,0,-110
0,135315.00,8389576.00,8926273.00,100.00,100.00,-3.48,20.32,-0.03,-0.03,0,0,0,0,0,0,0,0,-128
0,135517.00,8389663.00,8926508.00,100.00,100.00,-3.46,20.33,-0.03,-0.03,0,0,0,0,0,0,0,0,-111
0,135719.00,8389623.00,8926873.00,100.00,100.00,-3.46,20.35,-0.03,-0.03,0,0,0,0,0,0,0,0,-128
0,136123.00,8389606.00,8926718.00,99.00,100.00,-3.47,20.34,-0.04,-0.03,0,0,0,0,0,0,0,0,-128
0,136325.00,8389665.00,8926591.00,99.00,100.00,-3.46,20.33,-0.04,-0.03,0,0,0,0,0,0,0,0,-128
0,136728.00,8389715.00,8926967.00,99.00,100.00,-3.44,20.35,-0.04,-0.03,0,0,0,0,0,0,0,0,-129
0,136930.00,8389613.00,8926599.00,100.00,100.00,-3.47,20.33,-0.03,-0.03,0,0,0,0,0,0,0,0,-128
0,137132.00,8389729.00,8926725.00,100.00,100.00,-3.44,20.34,-0.03,-0.03,0,0,0,0,0,0,0,0,-111
0,137334.00,8389723.00,8926354.00,99.00,100.00,-3.44,20.32,-0.04,-0.03,0,0,0,0,0,0,0,0,-109
0,137535.00,8389693.00,8926678.00,99.00,100.00,-3.45,20.34,-0.04,-0.03,0,0,0,0,0,0,0,0,-128
0,138141.00,8389583.00,8926210.00,99.00,100.00,-3.47,20.32,-0.04,-0.03,0,0,0,0,0,0,0,0,-128
0,138343.00,8389525.00,8926570.00,99.00,100.00,-3.49,20.33,-0.04,-0.03,0,0,0,0,0,0,0,0,-112
0,140159.00,8389653.00,8926585.00,100.00,101.00,-3.46,20.33,-0.03,-0.02,0,0,0,0,0,0,0,0,-128
0,140361.00,8389765.00,8926744.00,99.00,100.00,-3.43,20.34,-0.04,-0.03,0,0,0,0,0,0,0,0,-128
0,140764.00,8389673.00,8926852.00,100.00,100.00,-3.45,20.34,-0.03,-0.03,0,0,0,0,0,0,0,0,-128
0,140966.00,8389523.00,8926451.00,99.00,100.00,-3.49,20.33,-0.04,-0.03,0,0,0,0,0,0,0,0,-128
0,141168.00,8389500.00,8926419.00,99.00,99.00,-3.49,20.33,-0.04,-0.04,0,0,0,0,0,0,0,0,-128
0,141370.00,8389601.00,8926266.00,99.00,101.00,-3.47,20.32,-0.04,-0.02,0,0,0,0,0,0,0,0,-128
0,141571.00,8389610.00,8926437.00,99.00,100.00,-3.47,20.33,-0.04,-0.03,0,0,0,0,0,0,0,0,-128
0,141773.00,8389540.00,8926536.00,100.00,100.00,-3.48,20.33,-0.03,-0.03,0,0,0,0,0,0,0,0,-111
0,141975.00,8389510.00,8926742.00,99.00,100.00,-3.49,20.34,-0.04,-0.03,0,0,0,0,0,0,0,0,-128
0,142177.00,8389596.00,8926505.00,100.00,100.00,-3.47,20.33,-0.03,-0.03,0,0,0,0,0,0,0,0,-128
0,142379.00,8389565.00,8926704.00,100.00,100.00,-3.48,20.34,-0.03,-0.03,0,0,0,0,0,0,0,0,-128
0,142580.00,8389632.00,8926268.00,100.00,100.00,-3.46,20.32,-0.03,-0.03,0,0,0,0,0,0,0,0,-128
0,143791.00,8389618.00,8926463.00,100.00,100.00,-3.47,20.33,-0.03,-0.03,0,0,0,0,0,0,0,0,-110
0,143993.00,8389552.00,8926350.00,100.00,100.00,-3.48,20.32,-0.03,-0.03,0,0,0,0,0,0,0,0,-128
0,144195.00,8389583.00,8926337.00,99.00,100.00,-3.47,20.32,-0.04,-0.03,0,0,0,0,0,0,0,0,-128
0,144397.00,8389478.00,8926216.00,99.00,101.00,-3.50,20.32,-0.04,-0.02,0,0,0,0,0,0,0,0,-128
0,144599.00,8389616.00,8926430.00,99.00,100.00,-3.47,20.33,-0.04,-0.03,0,0,0,0,0,0,0,0,-128
0,144801.00,8389532.00,8926578.00,100.00,100.00,-3.49,20.33,-0.03,-0.03,0,0,0,0,0,0,0,0,-108
0,145002.00,8389603.00,8926362.00,99.00,100.00,-3.47,20.32,-0.04,-0.03,0,0,0,0,0,0,0,0,-128
0,145204.00,8389664.00,8926163.00,100.00,100.00,-3.46,20.32,-0.03,-0.03,0,0,0,0,0,0,0,0,-128
0,145406.00,8389567.00,8926308.00,100.00,100.00,-3.48,20.32,-0.03,-0.03,0,0,0,0,0,0,0,0,-128
0,145608.00,8389534.00,8926682.00,100.00,101.00,-3.48,20.34,-0.03,-0.02,0,0,0,0,0,0,0,0,-128
0,146012.00,8389530.00,8926421.00,99.00,100.00,-3.49,20.33,-0.04,-0.03,0,0,0,0,0,0,0,0,-128
0,146213.00,8389530.00,8926449.00,100.00,100.00,-3.49,20.33,-0.03,-0.03,0,0,0,0,0,0,0,0,-128
0,146415.00,8389526.00,8926588.00,99.00,100.00,-3.49,20.33,-0.04,-0.03,0,0,0,0,0,0,0,0,-108
0,146617.00,8389609.00,8926398.00,100.00,101.00,-3.47,20.33,-0.03,-0.02,0,0,0,0,0,0,0,0,-105
0,146819.00,8389575.00,8926376.00,99.00,100.00,-3.48,20.33,-0.04,-0.03,0,0,0,0,0,0,0,0,-112
0,147021.00,8389549.00,8926377.00,99.00,100.00,-3.48,20.33,-0.04,-0.03,0,0,0,0,0,0,0,0,-128
0,147222.00,8389486.00,8926291.00,99.00,100.00,-3.50,20.32,-0.04,-0.03,0,0,0,0,0,0,0,0,-128
0,147424.00,8389416.00,8926376.00,99.00,101.00,-3.51,20.33,-0.04,-0.02,0,0,0,0,0,0,0,0,-108
0,147626.00,8389672.00,8926545.00,100.00,100.00,-3.45,20.33,-0.03,-0.03,0,0,0,0,0,0,0,0,-108
0,147828.00,8389617.00,8926430.00,99.00,101.00,-3.47,20.33,-0.04,-0.02,0,0,0,0,0,0,0,0,-110
0,148030.00,8389472.00,8926369.00,100.00,100.00,-3.50,20.33,-0.03,-0.03,0,0,0,0,0,0,0,0,-128
0,148232.00,8389541.00,8926848.00,99.00,100.00,-3.48,20.34,-0.04,-0.03,0,0,0,0,0,0,0,0,-128
0,148433.00,8389637.00,8927009.00,99.00,100.00,-3.46,20.35,-0.04,-0.03,0,0,0,0,0,0,0,0,-128
0,149846.00,8389359.00,8926630.00,99.00,100.00,-3.52,20.34,-0.04,-0.03,0,0,0,0,0,0,0,-108
0,150451.00,8389510.00,8926848.00,99.00,101.00,-3.49,20.34,-0.04,-0.02,0,0,0,0,0,0,0,0,-128
0,151259.00,8389481.00,8926515.00,100.00,100.00,-3.50,20.33,-0.03,-0.03,0,0,0,0,0,0,0,0,-110
0,151461.00,8389585.00,8926750.00,100.00,100.00,-3.47,20.34,-0.03,-0.03,0,0,0,0,0,0,0,0,-128
0,151663.00,8389550.00,8926712.00,99.00,100.00,-3.48,20.34,-0.04,-0.03,0,0,0,0,0,0,0,0,-128
0,151864.00,8389524.00,8926571.00,99.00,100.00,-3.49,20.33,-0.04,-0.03,0,0,0,0,0,0,0,0,-128
0,152470.00,8389538.00,8926645.00,100.00,100.00,-3.48,20.34,-0.03,-0.03,0,0,0,0,0,0,0,0,-128
0,153883.00,8389589.00,8926386.00,99.00,100.00,-3.47,20.33,-0.04,-0.03,0,0,0,0,0,0,0,0,-128
0,154084.00,8389426.00,8926346.00,100.00,100.00,-3.51,20.32,-0.03,-0.03,0,0,0,0,0,0,0,0,-128
0,154286.00,8389510.00,8925850.00,99.00,100.00,-3.49,20.30,-0.04,-0.03,0,0,0,0,0,0,0,0,-128
0,154488.00,8389558.00,8926730.00,100.00,101.00,-3.48,20.34,-0.03,-0.02,0,0,0,0,0,0,0,0,-128
0,154690.00,8389655.00,8926813.00,99.00,100.00,-3.46,20.34,-0.04,-0.03,0,0,0,0,0,0,0,0,-111
0,154892.00,8389601.00,8927524.00,100.00,100.00,-3.47,20.37,-0.03,-0.03,0,0,0,0,0,0,0,0,-128
0,155094.00,8389554.00,8927487.00,99.00,100.00,-3.48,20.37,-0.04,-0.03,0,0,0,0,0,0,0,0,-128
0,155295.00,8389579.00,8928327.00,100.00,100.00,-3.47,20.40,-0.03,-0.03,0,0,0,0,0,0,0,0,-128
0,155497.00,8389627.00,8927516.00,99.00,100.00,-3.46,20.37,-0.04,-0.03,0,0,0,0,0,0,0,0,-128
0,155901.00,8389504.00,8927660.00,99.00,100.00,-3.49,20.38,-0.04,-0.03,0,0,0,0,0,0,0,0,-128
0,156103.00,8389588.00,8927731.00,100.00,101.00,-3.47,20.38,-0.03,-0.02,0,0,0,0,0,0,0,0,-128
0,156305.00,8389523.00,8927935.00,99.00,100.00,-3.49,20.39,-0.04,-0.03,0,0,0,0,0,0,0,0,-128
0,156507.00,8389510.00,8928081.00,100.00,100.00,-3.49,20.39,-0.03,-0.03,0,0,0,0,0,0,0,0,-128
0,156708.00,8389440.00,8928411.00,99.00,100.00,-3.51,20.41,-0.04,-0.03,0,0,0,0,0,0,0,0,-128
0,156910.00,8389528.00,8927092.00,99.00,101.00,-3.49,20.35,-0.04,-0.02,0,0,0,0,0,0,0,0,-128
